id,title,description,availability,condition,price,link,image_link,brand,origin_country,importer_name,importer_address
NCH-IC,Irani Chai,Authentic Irani chai brewed with premium leaves and whole milk,in stock,new,15.00 INR,https://nawabichaihouse.com,https://nawabi-chai-house-sit.pages.dev/assets/products/irani-chai.jpg,Nawabi Chai House,IN,HN Hotels Pvt Ltd,"Shivajinagar, Bangalore, Karnataka 560051, India"
NCH-NSC,Nawabi Special Coffee,Rich and aromatic special coffee blend,in stock,new,30.00 INR,https://nawabichaihouse.com,https://nawabi-chai-house-sit.pages.dev/assets/products/nawabi-special-coffee.jpg,Nawabi Chai House,IN,HN Hotels Pvt Ltd,"Shivajinagar, Bangalore, Karnataka 560051, India"
NCH-LT,Lemon Tea,Refreshing lemon tea made with fresh lemons,in stock,new,20.00 INR,https://nawabichaihouse.com,https://nawabi-chai-house-sit.pages.dev/assets/products/lemon-tea.jpg,Nawabi Chai House,IN,HN Hotels Pvt Ltd,"Shivajinagar, Bangalore, Karnataka 560051, India"
NCH-BM,Bun Maska,Soft warm bun loaded with creamy butter,in stock,new,40.00 INR,https://nawabichaihouse.com,https://nawabi-chai-house-sit.pages.dev/assets/products/bun-maska.jpg,Nawabi Chai House,IN,HN Hotels Pvt Ltd,"Shivajinagar, Bangalore, Karnataka 560051, India"
NCH-OB3,Osmania Biscuit x3,3 pieces of classic Hyderabadi Osmania biscuits,in stock,new,20.00 INR,https://nawabichaihouse.com,https://nawabi-chai-house-sit.pages.dev/assets/products/osmania-biscuit.jpg,Nawabi Chai House,IN,HN Hotels Pvt Ltd,"Shivajinagar, Bangalore, Karnataka 560051, India"
NCH-CC,Chicken Cutlet,Crispy golden chicken cutlet perfectly seasoned,in stock,new,25.00 INR,https://nawabichaihouse.com,https://nawabi-chai-house-sit.pages.dev/assets/products/chicken-cutlet.jpg,Nawabi Chai House,IN,HN Hotels Pvt Ltd,"Shivajinagar, Bangalore, Karnataka 560051, India"
